ID,Gender,Brand,Name,Image,Price range,Rating,Option,Price,,,,
10000053,Male,Jean Paul Gaultier,Jean Paul Gaultier So Scandal!,//product.hstatic.net/1000340570/product/jean-paul-gaultier-so-scandal_30b752f114a1432baa85f52fe2637c0e_grande.jpg,1.750.000? - 2.950.000?,22,Eau de Parfum 80ml,2.950.000?,,,,
10000055,Male,Jean Paul Gaultier,Jean Paul Gaultier So Scandal!,//product.hstatic.net/1000340570/product/jean-paul-gaultier-so-scandal_30b752f114a1432baa85f52fe2637c0e_grande.jpg,1.750.000? - 2.950.000?,22,Eau de Parfum 30ml,1.750.000?,,,,
10000056,Male,Jean Paul Gaultier,Jean Paul Gaultier So Scandal!,//product.hstatic.net/1000340570/product/jean-paul-gaultier-so-scandal_30b752f114a1432baa85f52fe2637c0e_grande.jpg,1.750.000? - 2.950.000?,22,Eau de Parfum 50ml,2.230.000?,,,,
10000079,Male,Marc Jacobs,Marc Jacobs Daisy Dream,//product.hstatic.net/1000340570/product/marc_jacobs_daisy_dream_129e4126f77e4b37af811eb0927d6941_grande.jpg,1.850.000?,22,Eau de Toilette 30ml,1.200.000?,,,,
10000081,Male,Marc Jacobs,Marc Jacobs Daisy Dream,//product.hstatic.net/1000340570/product/marc_jacobs_daisy_dream_129e4126f77e4b37af811eb0927d6941_grande.jpg,1.850.000?,22,Eau de Toilette 50ml,1.500.000?,,,,
10000082,Male,Marc Jacobs,Marc Jacobs Daisy Dream,//product.hstatic.net/1000340570/product/marc_jacobs_daisy_dream_129e4126f77e4b37af811eb0927d6941_grande.jpg,1.850.000?,22,Eau de Toilette 100ml,1.850.000?,,,,
10000175,Male,Gucci,Gucci Bloom Eau de Parfum For Her,//product.hstatic.net/1000340570/product/gucci-bloom-eau-de-parfum_eb88a1912db246a48d4bdc1be06aa807_grande.jpg,1.650.000? - 2.800.000?,22,Eau de Parfum 30ml,1.650.000?,,,,
10000176,Male,Gucci,Gucci Bloom Eau de Parfum For Her,//product.hstatic.net/1000340570/product/gucci-bloom-eau-de-parfum_eb88a1912db246a48d4bdc1be06aa807_grande.jpg,1.650.000? - 2.800.000?,22,Eau de Parfum 50ml,2.100.000?,,,,
10000178,Male,Gucci,Gucci Bloom Eau de Parfum For Her,//product.hstatic.net/1000340570/product/gucci-bloom-eau-de-parfum_eb88a1912db246a48d4bdc1be06aa807_grande.jpg,1.650.000? - 2.800.000?,22,Eau de Parfum 100ml,2.800.000?,,,,
10000179,Male,Gucci,Gucci Bloom Eau de Parfum For Her,//product.hstatic.net/1000340570/product/gucci-bloom-eau-de-parfum_eb88a1912db246a48d4bdc1be06aa807_grande.jpg,1.650.000? - 2.800.000?,22,Eau de Parfum 5ml,480.000?,,,,
10000180,Male,Carolina Herrera,Carolina Herrera Good Girl Suprême,//product.hstatic.net/1000340570/product/5bd00633e110452da264eddfe4d11924_93aecb289a95406ca30ac1cbb539a14d_grande.jpg,1.750.000? - 2.850.000?,22,Eau de Parfum 80ml,2.850.000?,,,,
10000182,Male,Carolina Herrera,Carolina Herrera Good Girl Suprême,//product.hstatic.net/1000340570/product/5bd00633e110452da264eddfe4d11924_93aecb289a95406ca30ac1cbb539a14d_grande.jpg,1.750.000? - 2.850.000?,22,Eau de Parfum 30ml,1.750.000?,,,,
10000183,Male,Carolina Herrera,Carolina Herrera Good Girl Suprême,//product.hstatic.net/1000340570/product/5bd00633e110452da264eddfe4d11924_93aecb289a95406ca30ac1cbb539a14d_grande.jpg,1.750.000? - 2.850.000?,22,Eau de Parfum 50ml,2.300.000?,,,,
10000087,Male,Dolce & Gabbana,Dolce & Gabbana Light Blue Eau Intense,//product.hstatic.net/1000340570/product/dolce-_-gabbana-light-blue-eau-intense_55ab0ef58baa4349848a004d766f705f_grande.jpg,1.850.000? - 2.580.000?,21,Eau de Parfum 50ml,1.850.000?,,,,
10000089,Male,Dolce & Gabbana,Dolce & Gabbana Light Blue Eau Intense,//product.hstatic.net/1000340570/product/dolce-_-gabbana-light-blue-eau-intense_55ab0ef58baa4349848a004d766f705f_grande.jpg,1.850.000? - 2.580.000?,21,Eau de Parfum 100ml,2.580.000?,,,,
10000110,Male,Jean Paul Gaultier,Jean Paul Gaultier Scandal,//product.hstatic.net/1000340570/product/jean-paul-gaultier-scandal-80ml_d7f6145d41b047e1a48066c0b17c3ab6_grande.jpg,2.550.000? - 2.850.000?,21,Eau de Parfum 50ml,2.100.000?,,,,
10000111,Male,Jean Paul Gaultier,Jean Paul Gaultier Scandal,//product.hstatic.net/1000340570/product/jean-paul-gaultier-scandal-80ml_d7f6145d41b047e1a48066c0b17c3ab6_grande.jpg,2.550.000? - 2.850.000?,21,Eau de Parfum 80ml,2.850.000?,,,,
10000112,Male,Jean Paul Gaultier,Jean Paul Gaultier Scandal,//product.hstatic.net/1000340570/product/jean-paul-gaultier-scandal-80ml_d7f6145d41b047e1a48066c0b17c3ab6_grande.jpg,2.550.000? - 2.850.000?,21,Eau de Parfum 30ml,1.630.000?,,,,
10000168,Male,Salvatore Ferragamo,Salvatore Ferragamo Signorina Eau de Parfum,//product.hstatic.net/1000340570/product/salvatore-ferragamo-signorina-eau-de-parfum_6523405912b4421f97ad92f10c89e98d_grande.jpg,1.250.000? - 1.850.000?,20,Eau de Parfum 50ml,1.500.000?,,,,
10000169,Male,Salvatore Ferragamo,Salvatore Ferragamo Signorina Eau de Parfum,//product.hstatic.net/1000340570/product/salvatore-ferragamo-signorina-eau-de-parfum_6523405912b4421f97ad92f10c89e98d_grande.jpg,1.250.000? - 1.850.000?,20,Eau de Parfum 30ml,1.250.000?,,,,
10000170,Male,Salvatore Ferragamo,Salvatore Ferragamo Signorina Eau de Parfum,//product.hstatic.net/1000340570/product/salvatore-ferragamo-signorina-eau-de-parfum_6523405912b4421f97ad92f10c89e98d_grande.jpg,1.250.000? - 1.850.000?,20,Eau de Parfum 100ml,1.850.000?,,,,
10000192,Male,Moschino,Moschino Toy 2 For Woman,//product.hstatic.net/1000340570/product/moschino-toy-2-for-woman_0c2b285c8d1842fa9b88303a462b48c9_grande.jpg,1.180.000? - 1.750.000?,20,Eau de Parfum 50ml,1.380.000?,,,,
10000193,Male,Moschino,Moschino Toy 2 For Woman,//product.hstatic.net/1000340570/product/moschino-toy-2-for-woman_0c2b285c8d1842fa9b88303a462b48c9_grande.jpg,1.180.000? - 1.750.000?,20,Eau de Parfum 30ml,1.180.000?,,,,
10000195,Male,Moschino,Moschino Toy 2 For Woman,//product.hstatic.net/1000340570/product/moschino-toy-2-for-woman_0c2b285c8d1842fa9b88303a462b48c9_grande.jpg,1.180.000? - 1.750.000?,20,Eau de Parfum 100ml,1.750.000?,,,,
10000196,Male,Moschino,Moschino Toy 2 For Woman,//product.hstatic.net/1000340570/product/moschino-toy-2-for-woman_0c2b285c8d1842fa9b88303a462b48c9_grande.jpg,1.180.000? - 1.750.000?,20,Eau de Parfum 5ml,380.000?,,,,
10000814,Male,Narciso Rodriguez,Narciso Rodriguez For Her Collection 4pcs ( 75ml x 4 ),//product.hstatic.net/1000340570/product/narciso-rodriguez-for-her-collection-4pcs-_-7_5ml-x-4-__585411a342fb461992cfdc48d73f33af_grande.jpg,1.680.000?,20,Eau de Parfum 7.5ml Narciso Pure Musc & Narciso Fleur Musc & Narciso For Her EDP & Eau de Toilette 7.5ml Narciso For Her EDT,1.680.000?,,,,
10001040,Male,Maison Margiela,Maison Margiela Replica Lazy Sunday Morning,//product.hstatic.net/1000340570/product/maison-margiela-_replica_-lazy-sunday-morning_970ebefe9a524b84bdc4a6fbdb9976f2_grande.jpg,3.250.000?,20,Eau de Toilette 100ml,3.250.000?,,,,
10000030,Male,Calvin Klein,Calvin Klein Euphoria Eau de Parfum for Woman,//product.hstatic.net/1000340570/product/calvin-klein-euphoria_e25e1b3bcd9145778fbe625e459da18e_grande.jpg,1.550.000?,19,Eau de Parfum 50ml,1.180.000?,,,,
10000031,Male,Calvin Klein,Calvin Klein Euphoria Eau de Parfum for Woman,//product.hstatic.net/1000340570/product/calvin-klein-euphoria_e25e1b3bcd9145778fbe625e459da18e_grande.jpg,1.550.000?,19,Eau de Parfum 30ml,850.000?,,,,
10000032,Male,Calvin Klein,Calvin Klein Euphoria Eau de Parfum for Woman,//product.hstatic.net/1000340570/product/calvin-klein-euphoria_e25e1b3bcd9145778fbe625e459da18e_grande.jpg,1.550.000?,19,Eau de Parfum 100ml,1.550.000?,,,,
10000033,Male,Calvin Klein,Calvin Klein Euphoria Eau de Parfum for Woman,//product.hstatic.net/1000340570/product/calvin-klein-euphoria_e25e1b3bcd9145778fbe625e459da18e_grande.jpg,1.550.000?,19,Eau de Parfum 15ml,480.000?,,,,
10000095,Male,Chloe,Chloe Love Story,//product.hstatic.net/1000340570/product/chloe_love_story_d49d10af6d734ee8bd7f814824900b4a_grande.jpg,2.350.000?,19,Eau de Parfum 75ml,2.350.000?,,,,
10000096,Male,Chloe,Chloe Love Story,//product.hstatic.net/1000340570/product/chloe_love_story_d49d10af6d734ee8bd7f814824900b4a_grande.jpg,2.350.000?,19,Eau de Parfum 30ml,1.550.000?,,,,
10000172,Male,Marc Jacobs,Marc Jacobs Decadence,//product.hstatic.net/1000340570/product/marc-jacobs-decadence_c9064e51d53c433f8da8cef442f5adcc_grande.jpg,2.600.000?,19,Eau de Parfum 50ml,1.900.000?,,,,
10000173,Male,Marc Jacobs,Marc Jacobs Decadence,//product.hstatic.net/1000340570/product/marc-jacobs-decadence_c9064e51d53c433f8da8cef442f5adcc_grande.jpg,2.600.000?,19,Eau de Parfum 30ml,1.600.000?,,,,
10000174,Male,Marc Jacobs,Marc Jacobs Decadence,//product.hstatic.net/1000340570/product/marc-jacobs-decadence_c9064e51d53c433f8da8cef442f5adcc_grande.jpg,2.600.000?,19,Eau de Parfum 100ml,2.600.000?,,,,
10000184,Male,Tom Ford,Tom Ford Black Orchid,//product.hstatic.net/1000340570/product/tom-ford-black-orchid_4af20be652c44080819ea9e7115f7852_grande.jpg,2.900.000? - 3.200.000?,19,Eau de Parfum 100ml,3.200.000?,,,,
10000186,Male,Tom Ford,Tom Ford Black Orchid,//product.hstatic.net/1000340570/product/tom-ford-black-orchid_4af20be652c44080819ea9e7115f7852_grande.jpg,2.900.000? - 3.200.000?,19,Eau de Parfum 50ml,2.450.000?,,,,
